Game: Jaipur, Players: 2
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[LOSE_GAME,WIN_GAME]
[MCTSPlayer,MCTSPlayer]
[WIN_GAME,LOSE_GAME]
============= Jaipur - 100 games played ============= 
MCTSPlayer got 51.00 points. MCTSPlayer won 51.0% of the 100 games of the tournament. MCTSPlayer won 51.0% of the 100 games it played during the tournament.
MCTSPlayer won 51.0% of the 100 games against MCTSPlayer.

MCTSPlayer got 49.00 points. MCTSPlayer won 49.0% of the 100 games of the tournament. MCTSPlayer won 49.0% of the 100 games it played during the tournament.
MCTSPlayer won 49.0% of the 100 games against MCTSPlayer.

---- Ranking ---- 
MCTSPlayer: Win rate 0.51 +/- 0.02  Mean Ordinal 1.49 +/- 0.02
MCTSPlayer: Win rate 0.49 +/- 0.02  Mean Ordinal 1.51 +/- 0.02

  RoundScoreDifference_ScoreDiff   
 Measure   |        Value         |
-----------------------------------
    Count  |                 271  |
      sum  |                2994  |
     Mean  |  11.047970479704794  |
      Min  |                   0  |
      Max  |                  41  |
    Range  |                  41  |
 Variance  |   70.52731993986613  |
 Std. Dev  |   8.398054533037168  |

Plot report to console not implemented yet

PurchaseFromMarket_Purchase-Diamonds
 Measure   |  Value  |
----------------------
    Count  |   1001  |
      sum  |   1001  |
     Mean  |      1  |
      Min  |      1  |
      Max  |      1  |
    Range  |      0  |
 Variance  |      0  |
 Std. Dev  |      0  |


PurchaseFromMarket_Purchase-Magic
 Measure   |  Value  |
----------------------
    Count  |   1065  |
      sum  |   1065  |
     Mean  |      1  |
      Min  |      1  |
      Max  |      1  |
    Range  |      0  |
 Variance  |      0  |
 Std. Dev  |      0  |


 summary Purchase                                                                                                                                                                                                                                                                                                                                                                 
 Purchase \ Game #  |  1   |  2   |  3   |  4   |  5   |  6   |  7   |  8   |  9   |  10  |  11  |  12  |  13  |  14  |  15  |  16  |  17  |  18  |  19  |  20  |  21  |  22  |  23  |  24  |  25  |  26  |  27  |  28  |  29  |  30  |  31  |  32  |  33  |  34  |  35  |  36  |  37  |  38  |  39  |  40  |  41  |  42  |  43  |  44  |  45  |  46  |  47  |  48  |  49  |  50  |  51  |  52  |  53  |  54  |  55  |  56  |  57  |  58  |  59  |  60  |  61  |  62  |  63  |  64  |  65  |  66  |  67  |  68  |  69  |  70  |  71  |  72  |  73  |  74  |  75  |  76  |  77  |  78  |  79  |  80  |  81  |  82  |  83  |  84  |  85  |  86  |  87  |  88  |  89  |  90  |  91  |  92  |  93  |  94  |  95  |  96  |  97  |  98  |  99  |  100  |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Gold  |  14  |  11  |   9  |  11  |  15  |  12  |   3  |  18  |  14  |   9  |   8  |   9  |  10  |  15  |   7  |   9  |   4  |  10  |   7  |  11  |  16  |   9  |   4  |  15  |  14  |  14  |   9  |  18  |  16  |   8  |   6  |  11  |  14  |  12  |  14  |   9  |  12  |  13  |   8  |  15  |   9  |   6  |  16  |   8  |   4  |  12  |  13  |   6  |   8  |  10  |  17  |  11  |   7  |   5  |   8  |  12  |   6  |  12  |   4  |  12  |   9  |   9  |   9  |  12  |  10  |  15  |  11  |  14  |  12  |   8  |  10  |   7  |  12  |  12  |  10  |  11  |  18  |   8  |  15  |   9  |  11  |  10  |  12  |   7  |   6  |   4  |  17  |   8  |   6  |  13  |  13  |  11  |  12  |  11  |  13  |  13  |  15  |  11  |   8  |    8  |
            Silver  |  13  |  17  |  11  |  12  |  10  |   7  |   9  |   9  |  10  |   9  |   9  |  15  |  13  |   9  |  12  |   6  |  11  |  10  |   6  |   8  |   7  |   3  |   4  |  12  |  12  |   8  |  13  |  10  |  12  |  11  |   2  |  13  |   9  |   7  |  12  |   9  |  14  |  17  |  17  |   9  |  10  |   8  |  16  |   8  |  10  |   8  |   9  |  12  |   6  |  11  |  11  |   8  |  14  |  10  |  10  |   6  |   7  |  10  |   8  |   5  |  10  |  11  |  15  |  13  |   9  |  11  |   8  |  15  |  14  |   8  |  12  |   6  |  10  |  15  |  10  |  12  |  12  |   8  |  11  |  11  |   9  |   9  |  10  |   8  |   6  |   7  |  15  |  10  |   4  |   9  |   9  |  11  |   6  |  12  |  14  |  17  |  14  |  15  |   6  |   11  |
          Diamonds  |   6  |  16  |  17  |  13  |  12  |   7  |   5  |  11  |   7  |  14  |   5  |  11  |   6  |   4  |   8  |  15  |   4  |   4  |   8  |  11  |   9  |  16  |   8  |  15  |  12  |   9  |   4  |  13  |   6  |  12  |   8  |  15  |  17  |   8  |   6  |  12  |   7  |   9  |   6  |   9  |  11  |  12  |   9  |   6  |   5  |   5  |  10  |  15  |   8  |  11  |  15  |   4  |   8  |   7  |   4  |  15  |  15  |  14  |   4  |  14  |   8  |  11  |  18  |  11  |   6  |   9  |  15  |  12  |  15  |  12  |  15  |  11  |  14  |  13  |   7  |  14  |  11  |   5  |  14  |   9  |   9  |   8  |   3  |   7  |   8  |   8  |   9  |   6  |  12  |  12  |  13  |  14  |   9  |  15  |  12  |   9  |  11  |   9  |   9  |   11  |
             Magic  |  11  |  12  |  12  |  11  |  15  |   8  |  11  |  16  |  12  |  12  |   8  |  14  |  16  |  14  |   5  |  12  |   6  |   4  |   8  |   9  |   9  |  12  |   6  |   9  |  17  |  12  |  12  |  15  |  15  |  12  |  10  |   8  |  11  |   7  |   6  |  13  |  14  |  16  |  11  |   5  |  17  |   8  |  15  |   9  |   7  |  15  |  15  |  11  |   4  |  10  |   6  |   3  |  17  |   8  |   9  |  12  |  14  |  14  |  11  |  10  |  10  |   9  |   9  |  17  |  10  |  14  |  12  |   5  |  14  |   6  |  15  |  10  |   6  |  16  |   6  |  13  |  12  |   6  |  15  |  15  |  15  |  11  |  15  |  10  |  10  |   6  |   7  |   9  |   7  |   6  |  15  |   8  |   5  |  18  |   6  |   9  |  10  |  12  |   6  |    9  |
             Cloth  |  11  |  18  |   7  |  16  |  16  |   9  |   8  |  15  |  12  |  11  |  11  |  18  |  21  |  13  |  14  |  15  |  12  |  13  |   8  |  22  |  17  |  12  |  16  |  15  |   5  |  14  |  18  |  15  |  10  |  16  |  11  |  16  |  11  |  10  |   9  |  10  |  17  |  13  |  18  |  12  |  12  |   8  |  18  |  13  |  12  |  17  |  15  |  13  |  10  |  13  |   6  |  12  |  18  |  12  |  12  |  13  |  18  |  16  |   6  |  20  |   6  |  19  |  13  |  17  |   8  |  17  |  19  |  16  |  11  |  10  |   8  |  20  |  14  |  11  |  10  |  18  |  19  |   9  |  15  |  17  |  18  |  11  |  23  |  15  |  11  |  10  |  21  |   6  |   8  |  19  |  12  |  14  |  21  |  15  |  10  |   9  |  15  |  23  |  10  |   14  |
             Spice  |  15  |  16  |  22  |  19  |  14  |  11  |  12  |  15  |  14  |  21  |  12  |  14  |  16  |  17  |  12  |   9  |  10  |  15  |  11  |  14  |  15  |  15  |  10  |  16  |  14  |  18  |  19  |  16  |  23  |  15  |  11  |  18  |  15  |   6  |  19  |  21  |  18  |  16  |  13  |  18  |  12  |  10  |  10  |   8  |  13  |  23  |  14  |  18  |   7  |  17  |  16  |  14  |   6  |  13  |   9  |  15  |  12  |  12  |  14  |  21  |  10  |  17  |   6  |  13  |  11  |  19  |  13  |  10  |  20  |   8  |  21  |  20  |  15  |  17  |  11  |  19  |  10  |   9  |   9  |  15  |  15  |   8  |  19  |  18  |  11  |  11  |  10  |  14  |  11  |  15  |  15  |  17  |  18  |  15  |  17  |  17  |  11  |  17  |  13  |   14  |
           Leather  |  18  |  12  |  18  |  16  |  15  |   8  |  15  |  20  |  23  |  16  |  13  |  21  |  15  |  19  |   8  |  19  |  14  |  10  |  16  |  13  |  27  |  21  |  15  |  21  |  19  |  21  |  18  |  12  |  17  |  18  |  11  |  15  |  16  |  15  |  15  |  23  |  18  |  14  |  18  |  19  |  18  |  11  |  17  |  13  |  12  |  21  |  23  |  17  |  15  |  18  |  19  |  11  |  18  |  12  |   9  |  22  |  18  |  18  |  17  |  16  |  10  |  21  |  22  |  14  |   9  |  18  |  13  |  23  |  12  |  12  |  25  |  21  |  26  |  15  |  10  |  10  |  14  |  12  |  12  |  21  |  15  |   9  |  20  |  23  |  10  |  12  |  17  |  11  |  14  |  22  |  21  |  21  |  17  |  20  |  23  |  18  |  19  |  22  |  12  |   22  |
             Camel  |  11  |  11  |   8  |  10  |  10  |   8  |  10  |  10  |  14  |  10  |   6  |  10  |   9  |  13  |   7  |   9  |   7  |   7  |   7  |  13  |   9  |  10  |   6  |   8  |  14  |  12  |  10  |   8  |   9  |  13  |   8  |   9  |  10  |   7  |   9  |   5  |  12  |   7  |   9  |  12  |  15  |   6  |  13  |   8  |   7  |   7  |  13  |  10  |  10  |  16  |   9  |  10  |  14  |   5  |   8  |  11  |   8  |  10  |   6  |  13  |   7  |   8  |  17  |  11  |   6  |   8  |  12  |  11  |  10  |   6  |   8  |   8  |   7  |  13  |   7  |  10  |  13  |   8  |  12  |   9  |  19  |   7  |  13  |  15  |   7  |   9  |   6  |   7  |   6  |  12  |   9  |  10  |  15  |   5  |   9  |   9  |  13  |  11  |   6  |   14  |

                                                        Stats Purchase                                                        
 Measure   |  Count  |  sum   |         Mean         |  Min  |  Max  |  Range  |       Variance       |       Std. Dev       |
------------------------------------------------------------------------------------------------------------------------------
  Leather  |    100  |  1655  |  16.549999999999997  |    8  |   27  |     19  |   19.56313131313132  |   4.423022870518682  |
    Spice  |    100  |  1428  |               14.28  |    6  |   23  |     17  |   15.61777777777777  |  3.9519334227410474  |
    Cloth  |    100  |  1361  |  13.610000000000001  |    5  |   23  |     18  |  17.573636363636364  |   4.192092122513097  |
    Magic  |    100  |  1065  |               10.65  |    3  |   18  |     15  |  13.522727272727266  |    3.67732610366925  |
     Gold  |    100  |  1059  |  10.590000000000002  |    3  |   18  |     15  |  12.304949494949492  |  3.5078411444860915  |
   Silver  |    100  |  1017  |  10.170000000000003  |    2  |   17  |     15  |  10.102121212121208  |   3.178383427486559  |
 Diamonds  |    100  |  1001  |               10.01  |    3  |   18  |     15  |  13.868585858585861  |   3.724055028941686  |
    Camel  |    100  |   969  |                9.69  |    5  |   19  |     14  |   8.337272727272728  |   2.887433588374411  |


PurchaseFromMarket_Purchase-Cloth
 Measure   |  Value  |
----------------------
    Count  |   1361  |
      sum  |   1361  |
     Mean  |      1  |
      Min  |      1  |
      Max  |      1  |
    Range  |      0  |
 Variance  |      0  |
 Std. Dev  |      0  |


PurchaseFromMarket_Purchase-Silver
 Measure   |  Value  |
----------------------
    Count  |   1017  |
      sum  |   1017  |
     Mean  |      1  |
      Min  |      1  |
      Max  |      1  |
    Range  |      0  |
 Variance  |      0  |
 Std. Dev  |      0  |


PurchaseFromMarket_Purchase-Spice
 Measure   |  Value  |
----------------------
    Count  |   1428  |
      sum  |   1428  |
     Mean  |      1  |
      Min  |      1  |
      Max  |      1  |
    Range  |      0  |
 Variance  |      0  |
 Std. Dev  |      0  |


PurchaseFromMarket_Purchase-Leather
 Measure   |  Value  |
----------------------
    Count  |   1655  |
      sum  |   1655  |
     Mean  |      1  |
      Min  |      1  |
      Max  |      1  |
    Range  |      0  |
 Variance  |      0  |
 Std. Dev  |      0  |


 PurchaseFromMarket_Purchase-Camel 
 Measure   |        Value         |
-----------------------------------
    Count  |                 969  |
      sum  |                2225  |
     Mean  |  2.2961816305469545  |
      Min  |                   1  |
      Max  |                   5  |
    Range  |                   4  |
 Variance  |   2.165284991769652  |
 Std. Dev  |   1.471490737915007  |


PurchaseFromMarket_Purchase-Gold
 Measure   |  Value  |
----------------------
    Count  |   1059  |
      sum  |   1059  |
     Mean  |      1  |
      Min  |      1  |
      Max  |      1  |
    Range  |      0  |
 Variance  |      0  |
 Std. Dev  |      0  |

Plot report to console not implemented yet

    WinGamesFirstPlayer_WinGames    
 Measure   |         Value         |
------------------------------------
    Count  |                  100  |
      sum  |                   56  |
     Mean  |   0.5599999999999999  |
      Min  |                    0  |
      Max  |                    1  |
    Range  |                    1  |
 Variance  |  0.24888888888888885  |
 Std. Dev  |   0.4988876515698588  |

Plot report to console not implemented yet

  WinRoundsWithMoreCamels_winRound  
 Measure   |         Value         |
------------------------------------
    Count  |                  271  |
      sum  |                   98  |
     Mean  |   0.3616236162361624  |
      Min  |                    0  |
      Max  |                    1  |
    Range  |                    1  |
 Variance  |  0.23170698373650395  |
 Std. Dev  |  0.48135951609634137  |

Plot report to console not implemented yet

Process finished with exit code 0
